InscClaimAmtReimbursed_sum,InscClaimAmtReimbursed_mean,InscClaimAmtReimbursed_std,InscClaimAmtReimbursed_count,DeductibleAmtPaid_sum,DeductibleAmtPaid_mean,TotalClaims,UniqueBeneficiaries,InpatientClaims,OutpatientClaims,ClaimsPerBeneficiary,InpatientRatio,UniqueAttendingPhysicians,UniqueOperatingPhysicians,UniqueOtherPhysicians,TotalUniquePhysicians,AvgClaimDuration,MaxClaimDuration,AvgHospitalStay,MaxHospitalStay,TotalClaimsWithDates,TotalStaysWithDates,UniqueDiagnoses,UniqueProcedures,AvgMaleRatio,MostCommonRace,AvgRenalDiseaseRate,UniqueStates,UniqueCounties,AvgPartACoverage,AvgPartBCoverage,AvgBeneIPReimbursement,AvgBeneOPReimbursement
9900,230.23,366.25,43,120.0,2.79,43,27,0,43,1.59,0.0,18,6,8,32,1.8604651162790695,20,0.0,0,43,0,96,0,0.37,1,0.111,2,8,11.556,11.556,4064.444,1841.111
248520,4212.2,6866.52,59,30044.0,509.22,59,59,28,31,1.0,0.475,35,14,11,60,4.067796610169491,20,4.75,13,59,28,191,17,0.492,1,0.186,5,16,12.0,11.797,10623.39,1449.831
47020,301.41,1173.27,156,560.0,3.59,156,152,0,156,1.03,0.0,2,2,1,5,1.0897435897435896,20,0.0,0,156,0,248,0,0.401,1,0.217,2,4,12.0,11.967,3849.145,2175.329
4760,793.33,1577.03,6,1168.0,194.67,6,6,1,5,1.0,0.167,5,1,3,9,0.3333333333333333,2,2.0,2,6,1,15,0,0.667,1,0.0,2,3,12.0,11.833,666.667,481.667
70930,2216.56,4307.26,32,6608.0,206.5,32,30,6,26,1.07,0.188,27,7,16,50,3.34375,22,9.166666666666666,22,32,6,92,3,0.433,1,0.267,2,10,12.0,12.0,6962.667,3046.667
363310,3333.12,5913.82,109,39636.0,370.43,109,73,39,70,1.49,0.358,55,22,20,97,1.7155963302752293,15,4.717948717948718,15,109,39,302,25,0.452,1,0.192,5,26,11.836,11.822,9093.151,1920.0
11180,328.82,686.43,34,0.0,0.0,34,18,0,34,1.89,0.0,11,4,5,20,1.2058823529411764,20,0.0,0,34,0,81,0,0.5,1,0.167,1,4,12.0,11.944,3211.111,2117.778
4930,224.09,438.08,22,0.0,0.0,22,22,0,22,1.0,0.0,16,1,8,25,0.5454545454545454,7,0.0,0,22,0,44,0,0.409,1,0.136,2,10,12.0,12.0,9144.545,1540.455
43040,6148.57,6132.52,7,4272.0,610.29,7,7,4,3,1.0,0.571,4,2,3,9,3.2857142857142856,7,4.75,7,7,4,34,2,0.571,1,0.286,1,3,12.0,12.0,9428.571,2227.143
332690,10081.52,10124.35,33,24564.0,767.62,33,31,24,9,1.06,0.727,3,1,3,7,4.151515151515151,19,5.458333333333333,19,33,24,145,24,0.387,1,0.194,1,11,12.0,12.0,14920.0,1704.516
12790,673.16,1777.44,19,2136.0,112.42,19,18,2,17,1.06,0.105,13,3,7,23,1.631578947368421,20,3.5,4,19,2,54,1,0.222,1,0.167,1,10,12.0,12.0,7100.0,1333.333
716850,5232.48,8534.63,137,80340.0,590.74,137,123,76,61,1.11,0.555,34,11,22,67,3.4963503649635035,35,5.197368421052632,35,137,76,424,38,0.439,1,0.163,4,20,12.0,12.0,9889.35,1725.041
350,175.0,176.78,2,0.0,0.0,2,2,0,2,1.0,0.0,1,0,1,2,10.5,20,0.0,0,2,0,5,0,0.5,1,0.5,1,1,12.0,12.0,0.0,1725.0
92870,4643.5,7399.55,20,8554.0,427.7,20,20,8,12,1.0,0.4,17,7,6,30,2.25,8,4.75,8,20,8,80,6,0.45,1,0.2,1,6,12.0,12.0,8174.5,1601.0
57000,57000.0,0.0,1,1068.0,1068.0,1,1,1,0,1.0,1.0,1,1,1,3,15.0,15,17.0,17,1,1,9,1,1.0,1,1.0,1,1,12.0,12.0,58500.0,1320.0
3470,694.0,1457.29,5,50.0,10.0,5,5,0,5,1.0,0.0,5,0,2,7,4.0,20,0.0,0,5,0,13,0,0.2,1,0.2,2,4,12.0,12.0,22606.0,5996.0
90000,8181.82,3400.53,11,10680.0,1068.0,11,11,11,0,1.0,1.0,5,4,0,9,7.727272727272727,29,7.727272727272727,29,11,11,73,7,0.455,1,0.182,1,2,12.0,12.0,17395.455,2461.818
78050,553.55,1221.03,141,100.0,0.71,141,47,0,141,3.0,0.0,3,3,3,9,3.234042553191489,20,0.0,0,141,0,275,0,0.404,1,0.17,1,6,11.745,12.0,4570.213,2543.617
100,100.0,0.0,1,0.0,0.0,1,1,0,1,1.0,0.0,1,1,0,2,0.0,0,0.0,0,1,0,2,0,1.0,2,1.0,1,1,12.0,12.0,0.0,8120.0
2920,153.68,235.24,19,70.0,3.68,19,15,0,19,1.27,0.0,13,1,7,21,0.0526315789473684,1,0.0,0,19,0,48,0,0.4,1,0.333,2,5,12.0,12.0,9224.667,4054.667
1364150,1180.06,4959.01,1156,112534.0,97.43,1156,695,104,1052,1.66,0.09,12,12,10,34,1.7396193771626298,35,5.548076923076923,35,1156,104,1422,60,0.439,1,0.183,11,35,11.888,11.955,3647.799,1777.108
93130,2024.57,3830.87,46,11798.0,256.48,46,45,11,35,1.02,0.239,21,4,13,38,2.0217391304347827,18,4.818181818181818,17,46,11,132,7,0.467,1,0.133,2,13,12.0,11.911,5306.222,2069.556
5620,224.8,388.79,25,90.0,3.6,25,25,0,25,1.0,0.0,19,4,7,30,0.04,1,0.0,0,25,0,52,0,0.32,1,0.2,2,8,12.0,12.0,5053.2,2467.2
570,81.43,105.42,7,0.0,0.0,7,6,0,7,1.17,0.0,1,0,1,2,0.0,0,0.0,0,7,0,23,0,0.0,2,0.5,1,2,12.0,12.0,4050.0,1790.0
83320,274.98,555.4,303,910.0,3.0,303,158,0,303,1.92,0.0,16,13,15,44,1.2805280528052805,20,0.0,0,303,0,475,0,0.43,1,0.184,1,16,11.924,11.924,5381.962,1613.481
50870,299.24,563.42,170,380.0,2.24,170,101,0,170,1.68,0.0,20,17,17,54,0.9941176470588236,20,0.0,0,170,0,326,0,0.406,1,0.208,3,11,11.891,12.0,3295.941,2410.792
3860,275.71,870.82,14,0.0,0.0,14,14,0,14,1.0,0.0,5,3,2,10,1.6428571428571428,20,0.0,0,14,0,42,0,0.357,1,0.214,2,4,12.0,12.0,6642.857,2692.857
16000,8000.0,2828.43,2,2136.0,1068.0,2,2,2,0,1.0,1.0,1,1,1,3,2.5,4,2.5,4,2,2,16,2,0.0,1,0.0,1,1,12.0,12.0,10300.0,1350.0
6750,241.07,484.32,28,40.0,1.43,28,24,0,28,1.17,0.0,11,4,12,27,2.4642857142857144,20,0.0,0,28,0,62,0,0.5,1,0.167,1,5,12.0,12.0,7084.167,2264.583
598180,2461.65,5158.63,243,64490.0,265.39,243,204,60,183,1.19,0.247,81,42,34,157,2.716049382716049,28,5.766666666666667,28,243,60,525,32,0.417,1,0.25,7,33,11.824,11.931,7961.324,2053.873
78490,327.04,691.29,240,670.0,2.79,240,232,0,240,1.03,0.0,121,32,67,220,1.5666666666666669,20,0.0,0,240,0,428,0,0.414,1,0.19,10,32,11.948,11.897,4641.164,2140.172
18910,310.0,641.7,61,150.0,2.46,61,55,0,61,1.11,0.0,2,2,1,5,2.180327868852459,20,0.0,0,61,0,138,0,0.382,1,0.218,1,1,12.0,12.0,6089.091,2483.636
51890,2358.64,4608.8,22,4272.0,194.18,22,20,4,18,1.1,0.182,11,5,5,21,3.8181818181818175,20,6.25,11,22,4,68,3,0.3,1,0.15,1,7,12.0,12.0,6099.0,2466.0
91920,666.09,3133.22,138,3724.0,26.99,138,126,3,135,1.1,0.022,22,10,19,51,1.434782608695652,20,7.0,13,138,3,262,3,0.405,1,0.198,2,14,11.905,11.905,3986.508,2064.841
130600,4212.9,7431.87,31,17088.0,551.23,31,30,16,15,1.03,0.516,16,2,6,24,3.6774193548387095,20,5.875,12,31,16,125,9,0.4,1,0.2,1,16,11.6,12.0,11031.0,1703.0
14070,213.18,456.5,66,130.0,1.97,66,37,0,66,1.78,0.0,8,6,6,20,1.2878787878787878,20,0.0,0,66,0,118,0,0.486,1,0.216,1,7,12.0,12.0,5327.297,1440.27
38030,500.39,1058.13,76,3354.0,44.13,76,43,3,73,1.77,0.039,10,7,4,21,1.4473684210526316,20,5.0,10,76,3,186,1,0.442,1,0.186,3,13,12.0,11.721,4119.535,2190.698
29730,300.3,1060.62,99,1348.0,13.62,99,55,1,98,1.8,0.01,17,9,11,37,0.6464646464646465,20,7.0,7,99,1,189,1,0.4,1,0.109,2,8,12.0,12.0,2289.273,1426.182
86790,2410.83,4647.28,36,8544.0,237.33,36,35,8,28,1.03,0.222,5,2,2,9,2.1944444444444446,20,4.0,11,36,8,110,5,0.4,1,0.171,3,5,12.0,12.0,6223.143,1616.571
2950,327.78,489.92,9,0.0,0.0,9,8,0,9,1.12,0.0,2,1,1,4,2.2222222222222223,20,0.0,0,9,0,16,0,0.25,1,0.0,1,1,12.0,12.0,4798.75,2195.0
67030,287.68,579.18,233,590.0,2.53,233,162,0,233,1.44,0.0,6,5,3,14,1.356223175965665,20,0.0,0,233,0,401,1,0.432,1,0.13,3,13,12.0,12.0,4108.457,1860.432
3410,852.5,1631.69,4,0.0,0.0,4,4,0,4,1.0,0.0,2,1,2,5,0.0,0,0.0,0,4,0,17,0,0.25,1,1.0,1,2,12.0,12.0,12320.0,8387.5
9120,253.33,563.53,36,230.0,6.39,36,11,0,36,3.27,0.0,4,3,4,11,0.6111111111111112,20,0.0,0,36,0,74,0,0.273,1,0.182,1,4,12.0,12.0,7042.727,1472.727
560,280.0,311.13,2,0.0,0.0,2,2,0,2,1.0,0.0,1,0,0,1,10.0,20,0.0,0,2,0,6,0,0.5,1,1.0,1,1,12.0,12.0,13630.0,8070.0
32120,276.9,508.01,116,660.0,5.69,116,78,0,116,1.49,0.0,16,8,14,38,1.6551724137931034,20,0.0,0,116,0,237,0,0.385,1,0.154,5,14,11.846,11.782,3989.359,1789.359
2190,365.0,661.87,6,0.0,0.0,6,4,0,6,1.5,0.0,1,1,1,3,0.0,0,0.0,0,6,0,13,0,0.0,1,0.5,1,1,12.0,12.0,4340.0,2862.5
16420,912.22,1753.18,18,3404.0,189.11,18,18,3,15,1.0,0.167,14,4,6,24,0.7222222222222222,7,4.333333333333333,7,18,3,61,3,0.278,1,0.167,1,6,12.0,12.0,3322.222,3632.222
21100,186.73,406.01,113,380.0,3.36,113,51,0,113,2.22,0.0,1,1,1,3,0.911504424778761,20,0.0,0,113,0,203,0,0.412,1,0.078,1,3,12.0,12.0,2022.745,1115.098
94240,730.54,3674.62,129,2416.0,18.73,129,86,2,127,1.5,0.016,3,3,0,6,1.6124031007751938,20,1.5,2,129,2,273,1,0.453,1,0.151,2,5,12.0,11.86,2649.884,1993.953
19000,19000.0,0.0,1,1068.0,1068.0,1,1,1,0,1.0,1.0,1,1,0,2,1.0,1,1.0,1,1,1,4,1,1.0,1,1.0,1,1,12.0,12.0,32000.0,17640.0
161420,5765.0,11646.21,28,10760.0,384.29,28,27,10,18,1.04,0.357,21,9,10,40,2.4642857142857144,18,6.2,18,28,10,108,11,0.444,1,0.259,3,15,12.0,12.0,10841.481,2008.889
220,110.0,127.28,2,0.0,0.0,2,2,0,2,1.0,0.0,1,0,0,1,0.0,0,0.0,0,2,0,5,0,0.5,1,0.5,2,2,12.0,12.0,0.0,800.0
27250,619.32,1209.9,44,2206.0,50.14,44,36,2,42,1.22,0.045,21,11,11,43,0.3409090909090909,5,4.0,5,44,2,108,1,0.5,1,0.167,1,6,12.0,11.861,1305.556,1448.611
505590,1057.72,2800.61,478,56486.0,118.17,478,391,52,426,1.22,0.109,194,67,98,359,1.5564853556485356,35,5.653846153846154,35,478,52,746,22,0.386,1,0.192,15,62,11.887,11.995,5186.598,1700.614
2550,318.75,350.28,8,0.0,0.0,8,8,0,8,1.0,0.0,6,1,2,9,5.25,20,0.0,0,8,0,20,0,0.375,1,0.25,2,5,12.0,12.0,9736.25,2962.5
291020,289.86,584.67,1004,2820.0,2.81,1004,723,0,1004,1.39,0.0,9,10,7,26,1.346613545816733,20,0.0,0,1004,0,1172,0,0.441,1,0.196,9,29,11.909,11.938,4138.963,1940.954
45430,322.2,662.63,141,590.0,4.18,141,103,0,141,1.37,0.0,1,1,0,2,1.24822695035461,20,0.0,0,141,0,254,0,0.466,1,0.184,1,6,12.0,12.0,3622.718,2166.699
11830,215.09,474.78,55,80.0,1.45,55,40,0,55,1.38,0.0,4,3,3,10,0.3272727272727272,10,0.0,0,55,0,114,0,0.5,1,0.1,1,8,12.0,12.0,2234.0,1568.75
816730,8597.16,10707.24,95,84372.0,907.23,95,90,81,14,1.06,0.853,14,5,4,23,5.768421052631579,35,6.444444444444445,35,95,81,343,50,0.433,1,0.2,4,14,11.822,11.922,13370.889,1995.778
11120,444.8,911.14,25,20.0,0.8,25,21,0,25,1.19,0.0,14,2,4,20,0.24,4,0.0,0,25,0,62,0,0.429,1,0.143,2,9,12.0,12.0,2408.571,2145.238
25050,569.32,1506.74,44,3254.0,73.95,44,41,3,41,1.07,0.068,18,6,10,34,1.2272727272727273,20,3.0,5,44,3,95,3,0.439,1,0.244,3,8,12.0,12.0,2450.0,2638.537
5930,156.05,225.53,38,40.0,1.05,38,24,0,38,1.58,0.0,16,4,11,31,0.2631578947368421,7,0.0,0,38,0,63,0,0.292,1,0.125,1,10,12.0,12.0,2816.667,720.833
98690,742.03,2309.16,133,5750.0,43.23,133,45,5,128,2.96,0.038,5,4,3,12,1.1954887218045114,20,5.8,10,133,5,257,4,0.444,1,0.156,2,9,12.0,12.0,3208.889,1945.333
27000,9000.0,6245.0,3,3204.0,1068.0,3,3,3,0,1.0,1.0,1,1,0,2,10.0,23,10.0,23,3,3,26,2,0.333,1,0.0,1,2,12.0,12.0,11153.333,773.333
1730,247.14,509.76,7,0.0,0.0,7,7,0,7,1.0,0.0,7,4,2,13,1.5714285714285714,8,0.0,0,7,0,27,0,0.429,1,0.286,1,1,12.0,12.0,4300.0,2327.143
5170,272.11,452.92,19,70.0,3.68,19,8,0,19,2.38,0.0,3,1,2,6,2.526315789473684,20,0.0,0,19,0,50,0,0.5,1,0.125,1,2,12.0,12.0,3318.75,1410.0
48840,642.63,1434.12,76,6478.0,85.24,76,73,6,70,1.04,0.079,27,11,17,55,2.526315789473684,23,5.0,23,76,6,194,4,0.452,1,0.247,3,13,12.0,12.0,4559.315,2054.11
63880,3041.9,6844.48,21,5340.0,254.29,21,20,5,16,1.05,0.238,18,4,6,28,3.095238095238096,25,9.0,25,21,5,70,0,0.45,1,0.15,2,5,12.0,12.0,11791.5,2896.5
32210,238.59,506.82,135,640.0,4.74,135,98,0,135,1.38,0.0,9,7,9,25,0.9111111111111112,20,0.0,0,135,0,239,0,0.429,1,0.173,1,5,11.99,11.878,4019.082,1689.082
88230,1192.3,3484.56,74,7476.0,101.03,74,63,7,67,1.17,0.095,31,12,19,62,1.5135135135135136,23,8.714285714285714,23,74,7,197,8,0.413,1,0.19,1,12,11.81,12.0,7729.048,2385.556
57860,781.89,2772.0,74,5500.0,74.32,74,71,5,69,1.04,0.068,45,11,24,80,3.391891891891892,20,5.8,15,74,5,170,5,0.366,1,0.268,8,18,12.0,12.0,5921.127,2786.901
7870,245.94,580.14,32,130.0,4.06,32,32,0,32,1.0,0.0,19,4,6,29,0.6875,20,0.0,0,32,0,76,0,0.531,1,0.188,2,6,12.0,11.812,7986.875,1961.562
24930,336.89,581.88,74,70.0,0.95,74,51,0,74,1.45,0.0,19,8,9,36,2.45945945945946,20,0.0,0,74,0,170,0,0.373,1,0.275,2,4,12.0,12.0,6942.549,2898.039
465440,1947.45,4341.2,239,48840.0,205.21,239,136,46,193,1.76,0.192,15,9,8,32,2.903765690376569,35,6.652173913043479,35,239,46,487,25,0.426,1,0.169,2,7,11.912,11.912,4391.471,1286.471
1822970,2556.76,5817.17,713,180974.0,255.61,713,389,173,540,1.83,0.243,14,13,7,34,2.8162692847124826,35,5.936416184971098,35,713,173,1114,75,0.404,1,0.162,5,33,11.972,11.913,5966.787,1737.481
104490,392.82,1310.74,266,5820.0,21.88,266,246,5,261,1.08,0.019,96,42,56,194,1.3082706766917294,20,4.2,12,266,5,470,8,0.455,1,0.195,6,25,11.902,11.976,4626.138,2155.854
50,50.0,0.0,1,0.0,0.0,1,1,0,1,1.0,0.0,1,0,0,1,0.0,0,0.0,0,1,0,2,0,0.0,1,0.0,1,1,12.0,12.0,11000.0,1220.0
12880,204.44,408.49,63,50.0,0.79,63,62,0,63,1.02,0.0,3,4,2,9,1.3492063492063493,20,0.0,0,63,0,155,0,0.516,1,0.032,1,1,11.806,11.806,1419.677,1396.452
18000,18000.0,0.0,1,1068.0,1068.0,1,1,1,0,1.0,1.0,1,1,0,2,5.0,5,5.0,5,1,1,9,1,1.0,1,0.0,1,1,12.0,12.0,21210.0,690.0
202290,860.81,4263.08,235,11440.0,48.68,235,125,10,225,1.88,0.043,23,12,30,65,1.319148936170213,35,7.9,35,235,10,435,5,0.416,1,0.144,3,19,12.0,11.952,4744.4,1629.6
70570,328.23,657.42,215,450.0,2.09,215,105,0,215,2.05,0.0,30,16,15,61,2.1627906976744184,20,0.0,0,215,0,361,0,0.429,1,0.133,5,11,11.581,11.724,2527.238,1623.524
65610,1822.5,3084.7,36,8624.0,246.4,36,35,9,27,1.03,0.25,14,8,6,28,3.6666666666666665,20,3.555555555555556,10,36,9,130,5,0.4,1,0.286,1,7,12.0,12.0,5358.0,2529.714
101000,16833.33,14729.79,6,6408.0,1068.0,6,6,6,0,1.0,1.0,3,1,2,6,5.666666666666667,10,5.666666666666667,10,6,6,48,6,0.5,1,0.167,1,3,12.0,12.0,36648.333,1553.333
60920,380.75,773.25,160,600.0,3.75,160,118,0,160,1.36,0.0,39,17,21,77,1.16875,20,0.0,0,160,0,279,0,0.432,1,0.178,1,12,11.949,11.805,2964.237,2181.356
173070,8653.5,12622.75,20,21360.0,1068.0,20,20,20,0,1.0,1.0,3,2,2,7,6.1,35,6.1,35,20,20,116,10,0.45,1,0.2,1,6,12.0,12.0,12010.0,2091.5
19420,380.78,937.25,51,90.0,1.76,51,48,0,51,1.06,0.0,23,12,11,46,1.8823529411764703,20,0.0,0,51,0,117,0,0.396,1,0.188,2,9,12.0,12.0,3092.083,2329.167
730,81.11,101.05,9,0.0,0.0,9,9,0,9,1.0,0.0,3,1,2,6,0.7777777777777778,7,0.0,0,9,0,15,0,0.667,1,0.111,2,2,12.0,12.0,5170.0,2333.333
310,51.67,37.64,6,0.0,0.0,6,6,0,6,1.0,0.0,2,1,1,4,0.0,0,0.0,0,6,0,10,0,0.667,1,0.333,1,1,12.0,12.0,4833.333,1276.667
9410,1176.25,2202.7,8,2136.0,267.0,8,8,2,6,1.0,0.25,6,3,1,10,0.75,4,3.0,4,8,2,23,1,0.25,1,0.125,2,4,12.0,12.0,5018.75,721.25
48680,1217.0,2257.77,40,6648.0,166.2,40,37,6,34,1.08,0.15,22,4,9,35,3.575,20,8.333333333333334,18,40,6,115,4,0.405,1,0.162,3,15,11.676,12.0,3834.324,2444.054
41400,262.03,462.76,158,370.0,2.34,158,153,0,158,1.03,0.0,68,20,35,123,1.1265822784810129,20,0.0,0,158,0,274,0,0.471,1,0.176,7,26,12.0,11.843,4358.301,1912.157
3310,137.92,230.67,24,20.0,0.83,24,24,0,24,1.0,0.0,13,3,8,24,0.8333333333333334,20,0.0,0,24,0,41,0,0.375,1,0.167,5,10,12.0,12.0,2306.667,2320.833
61570,3240.53,6534.39,19,9612.0,505.89,19,19,9,10,1.0,0.474,11,5,6,22,3.684210526315789,20,5.333333333333333,11,19,9,85,4,0.474,1,0.421,1,4,12.0,12.0,13050.0,3261.579
3570,155.22,256.9,23,70.0,3.04,23,8,0,23,2.88,0.0,3,2,2,7,0.0,0,0.0,0,23,0,55,0,0.25,1,0.25,1,3,12.0,12.0,6712.5,1080.0
26790,558.12,1542.56,48,1208.0,25.17,48,22,1,47,2.18,0.021,5,4,4,13,2.3125,20,0.0,0,48,1,121,1,0.364,1,0.227,1,4,12.0,12.0,1836.364,2616.364
195200,337.72,632.48,578,2290.0,3.96,578,374,0,578,1.55,0.0,6,5,6,17,1.9186851211072664,20,0.0,0,578,0,788,0,0.412,1,0.171,4,15,11.904,11.981,4262.112,1959.652
2990,996.67,1561.74,3,0.0,0.0,3,3,0,3,1.0,0.0,2,0,0,2,6.666666666666667,20,0.0,0,3,0,6,0,1.0,1,1.0,1,2,12.0,12.0,7666.667,6683.333
189070,2124.38,4347.93,89,23606.0,265.24,89,71,22,67,1.25,0.247,17,8,9,34,3.067415730337079,20,4.0,14,89,22,234,13,0.394,1,0.197,3,14,12.0,11.944,7819.859,2134.789
27700,728.95,1574.71,38,4352.0,114.53,38,33,4,34,1.15,0.105,15,7,8,30,0.6052631578947368,10,4.75,10,38,4,97,3,0.394,1,0.091,1,9,11.636,12.0,4500.0,2199.697
310,155.0,205.06,2,0.0,0.0,2,2,0,2,1.0,0.0,1,0,1,2,0.0,0,0.0,0,2,0,4,0,1.0,1,0.0,1,1,12.0,12.0,4000.0,2055.0
8530,213.25,486.44,40,60.0,1.5,40,34,0,40,1.18,0.0,1,1,1,3,0.675,20,0.0,0,40,0,85,0,0.294,1,0.206,1,6,11.647,12.0,2527.353,1789.118
60,30.0,28.28,2,0.0,0.0,2,2,0,2,1.0,0.0,1,0,1,2,0.0,0,0.0,0,2,0,8,0,0.5,1,0.0,1,1,12.0,12.0,3500.0,835.0
220,55.0,23.8,4,0.0,0.0,4,4,0,4,1.0,0.0,1,1,1,3,0.0,0,0.0,0,4,0,8,0,0.5,1,0.75,1,2,12.0,12.0,0.0,3512.5
8880,370.0,812.24,24,60.0,2.5,24,17,0,24,1.41,0.0,9,4,7,20,3.5416666666666665,20,0.0,0,24,0,54,0,0.353,1,0.353,1,4,12.0,12.0,2010.0,2712.941
12680,269.79,523.24,47,260.0,5.53,47,43,0,47,1.09,0.0,1,1,0,2,1.702127659574468,20,0.0,0,47,0,80,0,0.465,1,0.209,1,1,12.0,12.0,7452.093,1910.698
29520,243.97,408.91,121,320.0,2.64,121,64,0,121,1.89,0.0,1,1,1,3,0.5785123966942148,20,0.0,0,121,0,216,0,0.469,1,0.188,1,3,12.0,12.0,3538.75,1442.188
81080,11582.86,15810.69,7,6408.0,915.43,7,7,6,1,1.0,0.857,3,3,2,8,5.571428571428571,10,6.5,10,7,6,41,5,0.429,1,0.143,1,3,12.0,11.857,16607.143,5070.0
25430,299.18,598.55,85,0.0,0.0,85,69,0,85,1.23,0.0,1,1,1,3,1.411764705882353,20,0.0,0,85,0,162,0,0.449,1,0.174,1,10,11.826,11.826,2676.232,1803.623
19810,260.66,578.91,76,120.0,1.58,76,55,0,76,1.38,0.0,3,3,2,8,0.8421052631578947,20,0.0,0,76,0,163,0,0.545,1,0.164,1,4,11.782,11.982,3155.818,2016.364
2070,345.0,264.4,6,0.0,0.0,6,6,0,6,1.0,0.0,2,0,1,3,0.0,0,0.0,0,6,0,25,0,0.167,1,0.333,1,1,12.0,12.0,4083.333,2161.667
47550,278.07,505.5,171,580.0,3.39,171,89,0,171,1.92,0.0,8,6,7,21,1.2514619883040936,20,0.0,0,171,0,311,0,0.472,1,0.135,4,11,11.73,11.966,1958.876,1838.989
